[2025-03-26 23:50:00] User: 1, Command: ls
[2025-03-26 23:54:55] User: 1, Command: ls
[2025-03-27 00:03:16] User: 1, Command: ls
[2025-03-27 00:05:16] User: 1, Command: ls
[2025-03-27 00:05:30] User: 1, Command: ls
[2025-03-27 00:05:31] User: 1, Command: ls
[2025-03-27 00:05:36] User: 1, Command: ls
[2025-03-27 00:12:47] User: 1, Command: ls
[2025-03-27 00:18:29] User: 1, Command: ls
[2025-03-27 00:22:09] User: 1, Command: ls
[2025-03-27 00:29:13] User: 1, Command: ls
[2025-03-27 12:41:03] User: 1, Command: ls
[2025-03-27 12:43:42] User: 1, Command: ls
[2025-03-27 12:45:08] User: 1, Command: ls
[2025-03-27 12:54:03] User: 1, Command: id -a
[2025-03-27 12:54:25] User: 1, Command: ping 1.1.1.1
[2025-03-27 12:54:28] User: 1, Command: ping 1.1.1.1
[2025-03-27 12:54:31] User: 1, Command: ping 1.1.1.1
[2025-03-27 12:54:34] User: 1, Command: ping 1.1.1.1
[2025-03-27 12:54:37] User: 1, Command: ping 1.1.1.1
[2025-03-27 12:54:40] User: 1, Command: ping 1.1.1.1
[2025-03-27 12:54:44] User: 1, Command: ping 1.1.1.1
[2025-03-27 12:54:57] User: 1, Command: ping 1.1.1.1
[2025-03-27 12:55:07] User: 1, Command: ss -lntuop
[2025-03-27 12:55:08] User: 1, Command: ss -lntuop
[2025-03-27 12:55:08] User: 1, Command: ss -lntuop
[2025-03-27 12:55:16] User: 1, Command: ping 1.1.1.
[2025-03-27 12:55:26] User: 1, Command: ping -c4 1.1.1.1
[2025-03-27 12:55:28] User: 1, Command: ping -c4 1.1.1.1
[2025-03-27 13:21:57] User: 1, Command: ping 1.1.1.1
[2025-03-27 13:22:01] User: 1, Command: ping
[2025-03-27 13:22:09] User: 1, Command: id
[2025-03-27 13:19:23] User: 4, Command: ping 1.1.1.1
[2025-03-27 13:21:29] User: 4, Command: ls
[2025-03-27 13:21:48] User: 4, Command: id -a
[2025-03-27 13:21:59] User: 4, Command: ps -ef
[2025-03-27 13:22:06] User: 4, Command: ls
[2025-03-27 13:22:13] User: 4, Command: ps -ef
[2025-03-27 13:22:18] User: 4, Command: id -a
[2025-03-28 04:46:54] User: 4, Command: ls
[2025-03-28 04:58:30] User: 4, Command: ping 1.1.1.1
[2025-03-28 05:00:01] User: 4, Command: ping -c4 1.1.1.1
[2025-03-28 05:00:26] User: 4, Command: ss -lntuop
[2025-03-28 08:55:51] User: 4, Command: ping -c4 1.1.1.1
[2025-03-28 09:40:08] User: 4, Command: ping -c4 1.1.1.1
[2025-03-28 09:40:11] User: 4, Command: ping -c4 1.1.1.1
[2025-03-28 09:40:53] User: 4, Command: ping -c4 1.1.1.1 ; pwd
[2025-03-28 09:43:11] User: 4, Command: ping -c4 1.1.1.1 ; sleep(3333)
[2025-03-28 09:43:26] User: 4, Command: ping -c4 1.1.1.1
